"date","nburrows","year"
2016-07-08,1,"2016"
2017-05-13,2,"2017"
2017-05-14,0,"2017"
2017-05-15,6,"2017"
2017-05-16,7,"2017"
2017-05-17,2,"2017"
2017-05-18,2,"2017"
2017-05-19,3,"2017"
2017-05-20,1,"2017"
2017-05-21,2,"2017"
2017-05-22,5,"2017"
2017-05-23,1,"2017"
2017-05-24,3,"2017"
2017-05-25,2,"2017"
2017-05-26,2,"2017"
2017-05-27,0,"2017"
2017-05-28,1,"2017"
2017-05-29,6,"2017"
2017-05-30,1,"2017"
2017-05-31,4,"2017"
2017-06-01,3,"2017"
2017-06-02,1,"2017"
2017-06-03,0,"2017"
2017-06-04,0,"2017"
2017-06-05,3,"2017"
2017-06-06,3,"2017"
2017-06-07,3,"2017"
2017-06-08,0,"2017"
2017-06-09,1,"2017"
2017-06-10,0,"2017"
2017-06-11,2,"2017"
2017-06-12,1,"2017"
2017-06-13,5,"2017"
2017-06-14,1,"2017"
2017-06-15,1,"2017"
2017-06-16,0,"2017"
2017-06-17,1,"2017"
2017-06-18,0,"2017"
2017-06-19,0,"2017"
2017-06-20,1,"2017"
2017-06-21,1,"2017"
2017-06-22,0,"2017"
2017-06-23,1,"2017"
2017-06-24,1,"2017"
2017-06-25,1,"2017"
2017-06-26,1,"2017"
2017-06-27,0,"2017"
2017-06-28,0,"2017"
2017-06-29,1,"2017"
2018-05-09,1,"2018"
2018-05-10,0,"2018"
2018-05-11,1,"2018"
2018-05-12,1,"2018"
2018-05-13,0,"2018"
2018-05-14,0,"2018"
2018-05-15,2,"2018"
2018-05-16,3,"2018"
2018-05-17,1,"2018"
2018-05-18,2,"2018"
2018-05-19,3,"2018"
2018-05-20,4,"2018"
2018-05-21,2,"2018"
2018-05-22,3,"2018"
2018-05-23,2,"2018"
2018-05-24,1,"2018"
2018-05-25,2,"2018"
2018-05-26,3,"2018"
2018-05-27,2,"2018"
2018-05-28,3,"2018"
2018-05-29,1,"2018"
2018-05-30,3,"2018"
2018-05-31,3,"2018"
2018-06-01,0,"2018"
2018-06-02,1,"2018"
2018-06-03,2,"2018"
2018-06-04,3,"2018"
2018-06-05,0,"2018"
2018-06-06,1,"2018"
2018-06-07,3,"2018"
2018-06-08,2,"2018"
2018-06-09,0,"2018"
2018-06-10,1,"2018"
2018-06-11,3,"2018"
2018-06-12,0,"2018"
2018-06-13,1,"2018"
2018-06-14,3,"2018"
2018-06-15,0,"2018"
2018-06-16,1,"2018"
2018-06-17,2,"2018"
2018-06-18,0,"2018"
2018-06-19,4,"2018"
2018-06-20,1,"2018"
2018-06-21,1,"2018"
2018-06-22,0,"2018"
2018-06-23,0,"2018"
2018-06-24,1,"2018"
2018-06-25,2,"2018"
2018-06-26,3,"2018"
2018-06-27,0,"2018"
2018-06-28,0,"2018"
2018-06-29,1,"2018"
2018-06-30,1,"2018"
2018-07-01,0,"2018"
2018-07-02,0,"2018"
2018-07-03,1,"2018"
2018-07-04,0,"2018"
2018-07-05,0,"2018"
2018-07-06,0,"2018"
2018-07-07,0,"2018"
2018-07-08,0,"2018"
2018-07-09,0,"2018"
2018-07-10,0,"2018"
2018-07-11,1,"2018"
2018-07-12,0,"2018"
2018-07-13,1,"2018"
2018-07-14,0,"2018"
2018-07-15,0,"2018"
2018-07-16,0,"2018"
2018-07-17,0,"2018"
2018-07-18,0,"2018"
2018-07-19,1,"2018"
2018-07-20,0,"2018"
2018-07-21,0,"2018"
2018-07-22,1,"2018"
2019-04-26,1,"2019"
2019-04-27,0,"2019"
2019-04-28,1,"2019"
2019-04-29,0,"2019"
2019-04-30,0,"2019"
2019-05-01,0,"2019"
2019-05-02,0,"2019"
2019-05-03,1,"2019"
2019-05-04,0,"2019"
2019-05-05,4,"2019"
2019-05-06,7,"2019"
2019-05-07,1,"2019"
2019-05-08,7,"2019"
2019-05-09,4,"2019"
2019-05-10,7,"2019"
2019-05-11,4,"2019"
2019-05-12,5,"2019"
2019-05-13,7,"2019"
2019-05-14,8,"2019"
2019-05-15,5,"2019"
2019-05-16,5,"2019"
2019-05-17,3,"2019"
2019-05-18,0,"2019"
2019-05-19,8,"2019"
2019-05-20,5,"2019"
2019-05-21,7,"2019"
2019-05-22,5,"2019"
2019-05-23,2,"2019"
2019-05-24,6,"2019"
2019-05-25,8,"2019"
2019-05-26,2,"2019"
2019-05-27,7,"2019"
2019-05-28,3,"2019"
2019-05-29,4,"2019"
2019-05-30,4,"2019"
2019-05-31,1,"2019"
2019-06-01,5,"2019"
2019-06-02,4,"2019"
2019-06-03,4,"2019"
2019-06-04,5,"2019"
2019-06-05,5,"2019"
2019-06-06,4,"2019"
2019-06-07,1,"2019"
2019-06-08,2,"2019"
2019-06-09,6,"2019"
2019-06-10,2,"2019"
2019-06-11,3,"2019"
2019-06-12,1,"2019"
2019-06-13,5,"2019"
2019-06-14,2,"2019"
2019-06-15,1,"2019"
2019-06-16,2,"2019"
2019-06-17,1,"2019"
2019-06-18,1,"2019"
2019-06-19,1,"2019"
2019-06-20,2,"2019"
2019-06-21,4,"2019"
2019-06-22,2,"2019"
2019-06-23,1,"2019"
2019-06-24,2,"2019"
2019-06-25,4,"2019"
2019-06-26,0,"2019"
2019-06-27,3,"2019"
2019-06-28,2,"2019"
2019-06-29,2,"2019"
2019-06-30,0,"2019"
2019-07-01,1,"2019"
2019-07-02,1,"2019"
2019-07-03,0,"2019"
2019-07-04,0,"2019"
2019-07-05,1,"2019"
